train_loss,reconstruction_loss,kl_loss,epoch,step,validation_loss
20.10070037841797,0,3,,,
29.99956512451172,2,11,,,
27.91454315185547,4,19,,,
18.247983932495117,6,27,,,
12.429235458374023,8,35,,,
9.680468559265137,10,43,,,
,12,49,,,
6.727229118347168,13,55,,,
6.154914855957031,15,63,,,
5.170890808105469,17,71,,,
5.047675132751465,19,79,,,
4.610933303833008,21,87,,,
4.064133167266846,23,95,3.9351694583892822,0.8550875782966614,3.0800819396972656
4.553930282592773,24,99,,,
3.881777286529541,26,107,,,
3.688837766647339,28,115,,,
3.429049491882324,30,123,,,
3.350860118865967,32,131,,,
3.0872461795806885,34,139,,,
2.7934558391571045,36,147,2.5176358222961426,0.7680994868278503,1.7495362758636475
2.634932279586792,37,151,,,
2.727627754211426,39,159,,,
2.790398597717285,41,167,,,
2.552335500717163,43,175,,,
2.213811159133911,45,183,,,
2.2174482345581055,47,191,,,
,49,199,,,
2.2058441638946533,50,203,,,
1.9811862707138062,52,211,,,
2.143686532974243,54,219,,,
2.020840883255005,56,227,,,
2.0779969692230225,58,235,,,
1.661260962486267,60,243,,,
,62,249,,,
1.8032724857330322,63,255,,,
1.6351251602172852,65,263,,,
1.495395541191101,67,271,,,
1.6107871532440186,69,279,,,
1.4823205471038818,71,287,,,
1.4730989933013916,73,295,1.1761256456375122,0.5551279187202454,0.6209977269172668
1.3341388702392578,74,299,,,
1.491281270980835,76,307,,,
1.1747156381607056,78,315,,,
1.4495599269866943,80,323,,,
1.271298885345459,82,331,,,
1.2454488277435303,84,339,,,
1.0936734676361084,86,347,1.147678017616272,0.49559804797172546,0.6520799398422241
1.2540638446807861,87,351,,,
1.0510060787200928,89,359,,,
1.146829605102539,91,367,,,
1.1331602334976196,93,375,,,
1.0057709217071533,95,383,,,
1.0297255516052246,97,391,,,
,99,399,,,
